Disease_Name,Crop_Host(s),Min_Optimal_Temp,Max_Optimal_Temp,Min_Optimal_Humidity,Max_Optimal_Humidity,Min_Rainfall_mm,Max_Rainfall_mm,Min_Soil_Moisture,Max_Soil_Moisture,Soil_pH_Preference,Other_Factors
Damping-off (Pythium spp.; Rhizoctonia solani),Okra;Many Vegetables,18,25,85,100,10,30,60,90,6.0-7.5,"Cool, wet soil (Pythium) or warmer (Rhizoctonia); Poor drainage; High soil moisture; Infected soil/media; Overcrowding"
Olive Knot (Pseudomonas savastanoi pv. savastanoi),Olive,15,25,80,95,15,35,40,70,6.0-7.5,"Cool, wet weather; Rain splash; Enters through wounds (leaf scars, pruning, frost, hail); Forms galls on twigs/branches"
Verticillium Wilt (Verticillium dahliae),Olive;Tomato;Cotton;Many Woody/Herbaceous Plants,21,27,70,90,10,25,40,75,6.5-8.0,"Cooler soil temperatures favor infection, symptoms express in warmer weather; Soilborne microsclerotia (long survival)"
Anthracnose / Fruit Rot (Colletotrichum acutatum/gloeosporioides),Olive,20,30,90,100,15,35,50,80,5.5-7.5,"Moderate to warm temperatures; High humidity/rain during fruit ripening; Latent infections common"
Peacock Spot / Cycloconium Leaf Spot (Spilocaea oleaginea / Cycloconium oleaginum),Olive,15,20,90,100,10,30,45,75,6.0-8.0,"Cool, wet conditions in spring/autumn; Requires free water for spore germination/infection; Rain splash"
Downy Mildew (Peronospora destructor),Onion;Shallot;Garlic;Leek;Chive,10,18,90,100,10,25,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential (dew, rain > 3 hours); Wind dispersal; Systemic infection possible"
Purple Blotch (Alternaria porri),Onion;Leek;Garlic,21,30,90,100,15,30,50,80,5.5-7.0,"Warm temperatures; High humidity; Leaf wetness (dew, rain > 10 hours); Plant stress; Often follows other injury (thrips, ozone)"
White Rot (Sclerotium cepivorum),Onion;Garlic;Leek;Chive,15,20,80,95,10,25,50,80,5.0-7.0,"Cool soil temperatures; Soilborne sclerotia (long survival); High soil moisture favors sclerotia germination; Very persistent"
Basal Rot (Fusarium oxysporum f.sp. cepae),Onion;Garlic,25,30,70,90,10,25,40,80,5.5-7.0,"Warm soil temperatures; Soilborne; Enters through roots or wounds in basal plate; Can cause storage rot"
Botrytis Neck Rot / Leaf Blight (Botrytis allii / B. aclada / B. cinerea),Onion;Garlic,15,20,85,95,10,30,40,70,5.5-7.5,"Cool, moist conditions for leaf blight; Moderate temps/humidity for neck rot (storage); Enters wounds (harvesting), leaf tips"
Citrus Canker (Xanthomonas citri subsp. citri),Orange;Grapefruit;Lime;Other Citrus,20,30,85,95,15,35,45,75,5.5-7.0,"Warm, wet conditions; Wind-driven rain; Leaf wetness; Wounds (leaf miner, thorns, wind); Highly contagious"
Citrus Greening / Huanglongbing (HLB - Candidatus Liberibacter spp.),Orange;All Citrus varieties,25,32,60,85,10,30,35,70,5.5-7.5,"Vector presence (Asian Citrus Psyllid - Diaphorina citri); Warm temperatures favor vector; Systemic bacterial infection"
Sweet Orange Scab (Elsinoe australis),Orange (Sweet);Mandarin;Grapefruit,20,28,90,100,15,30,50,80,5.5-7.0,"Moderate temperatures; High humidity/rain during early fruit development; Leaf/fruit wetness (4+ hours)"
Postbloom Fruit Drop (PFD - Colletotrichum acutatum),Orange;Other Citrus,20,25,95,100,10,30,50,80,5.5-7.0,"Cooler temps within range; High humidity/rain during flowering; Affects blossoms causing drop and persistent buttons"
Phytophthora Root Rot / Gummosis (Phytophthora nicotianae/citrophthora),Orange;All Citrus,24,30,85,100,15,35,60,95,5.5-7.0,"Poor drainage; Waterlogged soils; Moderate to warm soil temperatures; Soilborne; Affects roots, trunk (gummosis)"
Rust (Puccinia menthae var. menthae),Oregano;Mint;Marjoram,18,25,85,95,10,25,40,70,6.0-7.5,"Moderate temperatures; High humidity or dew required for spore germination; Wind dispersal"
Root Rot (Pythium spp.; Rhizoctonia solani),Oregano;Mint;Many Herbs,18,28,80,95,15,35,55,90,6.0-7.5,"Poor drainage; Overwatering; Infected soil or pots"
Botrytis Blight / Gray Mold (Botrytis cinerea),Oregano;Many Herbs;Vegetables;Flowers,18,24,90,100,15,35,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Poor air circulation; Affects leaves, stems, flowers"
Anthracnose (Colletotrichum gloeosporioides),Papaya;Mango;Avocado;Guava,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid conditions; Rain splash; Affects fruit (latent infection, ripens to rot), leaves, petioles"
Papaya Ringspot Virus (PRSV),Papaya,25,35,50,80,5,25,30,65,5.5-7.5,"Aphid vector presence (non-persistent); Mechanical transmission possible but less efficient; Affects leaves, fruit, reduces growth"
Powdery Mildew (Oidium caricae; Erysiphe spp.),Papaya,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; Moderate to high humidity (not free water); Poor air circulation"
Black Spot (Asperisporium caricae),Papaya,20,28,85,95,15,30,45,75,5.5-7.0,"Moderate temperatures; High humidity/rain; Affects leaves (spots) and fruit (cosmetic blemishes)"
Brown Spot (Alternaria passiflorae / A. alternata),Passion Fruit,20,28,85,95,15,35,45,75,5.0-6.5,"Moderate to warm temperatures; High humidity; Rain splash; Affects leaves, stems, fruit"
Septoria Spot (Septoria passiflorae),Passion Fruit,18,25,85,95,15,30,45,75,5.0-6.5,"Cooler temps than Brown Spot; High humidity; Rain splash; Affects leaves, stems, fruit (smaller spots)"
Fusarium Wilt (Fusarium oxysporum f.sp. passiflorae),Passion Fruit,25,30,70,90,10,25,40,80,5.0-6.0,"Warm soil temperatures; Soilborne; Acidic soils favor; Persists in soil; Affects vascular system"
Woodiness Virus (Potyvirus complex - PWV),Passion Fruit,20,30,50,80,5,25,30,65,5.0-7.0,"Aphid vector presence (non-persistent); Mechanical transmission; Causes leaf mosaic, distortion, woody fruit"
Powdery Mildew (Erysiphe pisi),Pea,15,25,70,90,5,20,30,60,6.0-7.5,"Cool to moderate temperatures; High humidity (but not free water); Dense stands; Poor air circulation"
Downy Mildew (Peronospora viciae),Pea;Fava Bean;Vetch,10,18,90,100,10,25,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential; Systemic infection possible; Oospores in soil/seed"
Ascochyta Blight Complex (Ascochyta pisi; Mycosphaerella pinodes; Phoma koolunga),Pea,15,20,85,100,10,30,45,75,6.0-7.5,"Cool, wet conditions; Rain splash; Leaf wetness; Seedborne/stubble-borne; M. pinodes most aggressive (foot rot)"
Fusarium Root Rot / Wilt (Fusarium solani f.sp. pisi / F. oxysporum f.sp. pisi),Pea,18,28,70,90,10,25,45,80,5.5-7.0,"Variable optima (Wilt warmer); Soilborne; Poor drainage; Soil compaction; Plant stress; Persist in soil"
Rust (Uromyces pisi / U. viciae-fabae),Pea;Fava Bean;Vetch,18,25,85,95,10,25,40,70,6.0-7.5,"Moderate temperatures; High humidity or dew required for infection; Wind dispersal; U. pisi requires Euphorbia host"
Brown Rot (Monilinia fructigena/laxa),Peach;Plum;Cherry;Apricot;Almond,15,25,85,100,20,40,40,70,5.5-7.0,"Cool, wet during bloom (blossom blight); Warm, wet for fruit rot; Insect wounds; Rain; High humidity"
Peach Leaf Curl (Taphrina deformans),Peach;Nectarine,10,21,95,100,15,30,45,75,6.0-7.5,"Cool, wet weather during bud swell/break; Infection occurs at low temps; Rain splash; Overwinters on buds/bark"
Bacterial Spot (Xanthomonas arboricola pv. pruni),Peach;Plum;Apricot;Nectarine,20,28,85,95,15,35,45,75,6.0-7.5,"Warm, humid, rainy weather; Wind-driven rain; Affects leaves (shot hole), fruit (spots, cracks), twigs (cankers)"
Scab (Cladosporium carpophilum / Venturia carpophila),Peach;Apricot;Almond,18,26,85,98,15,35,40,70,6.0-7.0,"Moderate temperatures; High humidity; Frequent rain showers in spring/early summer; Overwinters on twigs"
Powdery Mildew (Sphaerotheca pannosa var. persicae),Peach;Nectarine;Apricot;Plum,20,28,60,90,5,20,30,60,6.0-7.0,"Moderate temperatures; High humidity (not free water); Affects leaves, shoots (white patches), fruit (russeting)"
Fire Blight (Erwinia amylovora),Pear;Apple;Quince;Loquat,18,29,70,90,10,30,35,65,5.5-7.5,"Warm, humid weather during bloom; Rain; Hail; Insect vectors; Splashing water; Affects blossoms (strike), shoots, limbs"
Pear Scab (Venturia pirina),Pear,16,24,90,100,10,30,40,70,5.5-7.0,"Cool, wet spring; Leaf/fruit wetness duration (critical); Primary infection from overwintering leaves; Rain splash"
Fabraea Leaf Spot / Black Spot (Diplocarpon mespili / Fabraea maculata),Pear;Quince;Loquat,20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; Wet weather; Rain splash; Overwinters on fallen leaves; Causes leaf spots, fruit spots, defoliation"
Stony Pit Virus,Pear,20,30,50,80,5,25,30,60,5.5-7.5,"Spread via infected grafting wood; No known insect vector; Causes deformed, pitted fruit; Symptom expression temperature dependent"
Downy Mildew / Green Ear (Sclerospora graminicola),Pearl Millet;Foxtail Millet;Sorghum,20,28,90,100,15,35,55,85,6.0-7.5,"High humidity; Moderate temperatures; Soilborne oospores; Can cause systemic infection (green ear malformation)"
Smut (Tolyposporium penicillariae / Moesziomyces bullatus),Pearl Millet,25,30,60,85,10,25,35,70,6.0-7.5,"Warm temperatures during flowering; Replaces individual grains with smut sori; Spores airborne"
Ergot (Claviceps fusiformis),Pearl Millet;Other Grasses,20,25,90,100,15,30,50,80,6.0-7.5,"Cool, wet weather during flowering; Replaces seeds with sclerotia (ergots); Produces sticky honeydew attractive to insects"
Rust (Puccinia substriata var. penicillariae),Pearl Millet,20,30,90,100,10,25,45,75,6.0-7.5,"Warm temperatures; High humidity/dew essential for infection; Wind dispersal"
Blast (Pyricularia grisea/oryzae),Pearl Millet;Rice;Finger Millet,25,30,90,100,20,40,50,80,5.0-6.5,"High humidity; Leaf wetness (dew, rain); High nitrogen levels; Wind dispersal; Affects leaves, neck"
Pecan Scab (Venturia effusa / Fusicladium effusum),Pecan,20,30,90,100,15,35,50,80,6.0-7.5,"Warm, humid conditions; Frequent rainfall; Leaf/nut wetness duration; Overwinters on twigs/shucks"
Powdery Mildew (Microsphaera penicillata / Erysiphe penicillata),Pecan,22,28,70,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Affects leaves and nuts (russeting)"
Downy Spot (Mycosphaerella caryigena),Pecan,25,30,85,95,15,35,45,75,6.0-7.5,"Warm, humid conditions; Rain splash; Overwinters on fallen leaves"
Anthracnose (Glomerella cingulata / Colletotrichum spp.),Pecan;Walnut;Many Fruits,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid conditions; Rain splash; Affects leaves, shucks, sometimes nuts"
Bunch Disease (Phytoplasma),Pecan;Walnut,25,32,60,85,10,30,35,70,6.0-7.5,"Vector presence (Leafhoppers); Warm temperatures; Causes proliferation of shoots (witches' brooms)"
Anthracnose (Colletotrichum gloeosporioides),Persimmon;Mango;Avocado,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid conditions; Rain splash; Affects fruit (sunken spots, rot), leaves, twigs"
Leaf Spot (Cercospora diospyri; Mycosphaerella diospyri),Persimmon,20,28,85,95,15,30,45,75,5.5-7.0,"Moderate to warm temperatures; High humidity; Rain splash; Overwinters on fallen leaves"
Crown Gall (Agrobacterium tumefaciens),Persimmon;Grape;Rose;Many Woody Plants,20,28,70,90,10,30,40,80,5.5-7.5,"Soilborne bacterium; Enters through wounds (planting, cultivation, insects); Causes galls on roots/crown"
Fruit Rot (Botrytis cinerea; Alternaria alternata; Penicillium spp.),Persimmon,15,30,85,100,15,35,50,80,5.5-7.0,"Cool, moist (Botrytis) or warmer (Alternaria); High humidity; Fruit injury; Post-harvest or late season field rot"
Fusarium Wilt (Fusarium udum / F. oxysporum f.sp. udum),Pigeon Pea,25,30,70,90,10,25,40,80,5.5-7.0,"Warm soil temperatures; Soilborne; Persists in soil for years; Poor drainage can exacerbate"
Sterility Mosaic Disease (SMD - Emaravirus),Pigeon Pea,20,30,60,85,5,25,35,70,6.0-7.5,"Vector presence (Eriophyid mite - Aceria cajani); Temperature influences mite activity; Causes sterility, mosaic, stunting"
Phytophthora Blight (Phytophthora drechsleri f.sp. cajani),Pigeon Pea,25,30,90,100,20,40,60,90,5.5-7.0,"Warm, wet conditions; High humidity; Waterlogged soils; Affects stem (blight), roots (rot)"
Powdery Mildew (Oidiopsis taurica / Leveillula taurica),Pigeon Pea;Cotton;Tomato,20,30,50,80,5,20,30,60,6.0-7.5,"Warm, dry conditions often favor this species (internal growth); Can tolerate lower humidity"
Cercospora Leaf Spot (Cercospora cajani / Mycovellosiella cajani),Pigeon Pea,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; High humidity; Rain splash; Dew; Infected seed or debris"
Phytophthora Heart & Root Rot (Phytophthora cinnamomi/nicotianae),Pineapple;Avocado;Macadamia Nut,21,27,85,100,15,35,60,95,4.5-6.0,"Poor drainage; Waterlogged soils; Moderate soil temperatures; Soilborne; Infected planting material"
Black Rot / Soft Rot (Thielaviopsis paradoxa / Ceratocystis paradoxa),Pineapple;Coconut;Sugarcane,25,30,85,95,10,30,50,80,4.5-6.5,"Affects fruit (post-harvest primarily, enters wounds), planting material (setts); Spread by insects, rain, tools"
Mealybug Wilt of Pineapple (PMWaV - Ampelovirus complex),Pineapple,25,32,60,85,5,25,35,70,4.5-6.5,"Vector presence (Mealybugs - Dysmicoccus spp.); Mealybug feeding transmits virus; Ants tending mealybugs exacerbate"
Fruitlet Core Rot / Fusarium Rot (Fusarium guttiforme / F. ananatum),Pineapple,25,30,80,95,10,25,40,70,5.0-6.5,"Infection often occurs at flowering; Favored by high humidity; Insect vectors (mites) may play a role"
Alternaria Late Blight (Alternaria alternata),Pistachio,15,25,85,95,15,30,45,75,6.5-8.0,"Cooler temperatures; High humidity/rain in spring/fall; Affects leaves, fruit; Overwinters in debris/buds"
Botrytis Blossom & Shoot Blight (Botrytis cinerea),Pistachio;Grape;Strawberry,18,24,90,100,15,35,50,80,6.5-8.0,"Cool, moist conditions during bloom; High humidity; Poor air circulation; Affects flowers, shoots, buds"
Botryosphaeria Panicle & Shoot Blight (Botryosphaeria dothidea),Pistachio;Walnut;Almond;Grape,25,32,80,95,10,30,40,70,6.5-8.0,"High temperatures; Plant stress (drought, heat, injury); Wounds provide entry; Overwinters in cankers/buds"
Septoria Leaf Spot (Septoria pistaciarum),Pistachio,20,25,85,95,10,30,40,70,6.5-8.0,"Moderate temperatures; Wet weather in spring; Rain splash; Overwinters on fallen leaves"
Black Sigatoka (Mycosphaerella fijiensis),Plantain;Banana,25,28,92,100,20,40,50,80,5.5-7.5,"High humidity; Frequent rainfall/dew; Leaf wetness essential; Wind dispersal; More aggressive than Yellow Sigatoka"
Panama Disease / Fusarium Wilt (Fusarium oxysporum f.sp. cubense),Plantain;Banana,24,30,70,90,10,30,40,80,5.0-6.5,"Warm soil temperatures; Soilborne; Acidic, poorly drained soils; Spreads via soil, water, infected rhizomes"
Moko Disease / Bacterial Wilt (Ralstonia solanacearum Race 2),Plantain;Banana;Heliconia,28,35,80,95,15,35,50,85,5.5-7.0,"Warm temperatures; High soil moisture; Spread via soil, water, insects, tools, infected planting material"
Banana Bunchy Top Virus (BBTV),Plantain;Banana,20,30,60,85,10,30,35,70,5.5-7.5,"Vector presence (Banana aphid - Pentalonia nigronervosa); Spread via infected planting material"
Brown Rot (Monilinia fructigena/laxa),Plum;Peach;Cherry;Apricot;Almond,15,25,85,100,20,40,40,70,5.5-7.0,"Cool, wet during bloom (blossom blight); Warm, wet for fruit rot; Insect wounds; Rain; High humidity"
Black Knot (Apiosporina morbosa / Dibotryon morbosum),Plum;Cherry (wild and cultivated),16,24,80,95,15,30,40,70,5.5-7.5,"Moderate temperatures; Wet conditions during shoot elongation; Wind/rain dispersal; Overwinters in knots"
Plum Pox Virus (PPV - Potyvirus),Plum;Peach;Apricot;Nectarine,20,28,50,80,5,25,30,65,5.5-7.5,"Aphid vector presence (non-persistent); Spread via infected grafting material; Causes ringspots, fruit deformation"
Bacterial Spot (Xanthomonas arboricola pv. pruni),Plum;Peach;Apricot;Nectarine,20,28,85,95,15,35,45,75,6.0-7.5,"Warm, humid, rainy weather; Wind-driven rain; Affects leaves (shot hole), fruit (spots, cracks), twigs (cankers)"
Plum Pocket (Taphrina communis),Plum,10,21,95,100,15,30,45,75,6.0-7.5,"Cool, wet weather during bud break; Similar to Peach Leaf Curl; Affects fruit causing bladder-like distortions"
Bacterial Blight / Oily Spot (Xanthomonas axonopodis pv. punicae),Pomegranate,25,35,85,95,15,35,45,75,5.5-7.5,"Warm, humid conditions; Rain splash; Wind-driven rain; Affects leaves, stems, fruit (cracking, spots)"
Anthracnose Fruit Rot (Colletotrichum gloeosporioides/acutatum),Pomegranate;Mango;Guava,24,30,85,98,20,40,50,80,5.5-7.5,"Warm, humid conditions; Rain splash; Affects fruit (rot), can cause leaf/blossom blight"
Cercospora Fruit & Leaf Spot (Cercospora punicae),Pomegranate,25,30,85,95,15,30,45,75,5.5-7.5,"Warm, humid conditions; Rain splash; Affects leaves and fruit (cosmetic spots)"
Alternaria Fruit Rot / Black Spot (Alternaria alternata / A. arborescens),Pomegranate,20,30,80,95,10,30,40,70,5.5-7.5,"Moderate to warm temperatures; High humidity; Often enters through calyx or wounds; Can cause internal rot"
Citrus Canker (Xanthomonas citri subsp. citri),Pomelo;Grapefruit;Orange;Lime,20,30,85,95,15,35,45,75,5.5-7.0,"Warm, wet conditions; Wind-driven rain; Leaf wetness; Wounds (leaf miner, thorns, wind); Highly contagious"
Citrus Greening / Huanglongbing (HLB - Candidatus Liberibacter spp.),Pomelo;All Citrus varieties,25,32,60,85,10,30,35,70,5.5-7.5,"Vector presence (Asian Citrus Psyllid - Diaphorina citri); Warm temperatures favor vector; Systemic bacterial infection"
Phytophthora Root Rot / Gummosis (Phytophthora nicotianae/citrophthora),Pomelo;All Citrus,24,30,85,100,15,35,60,95,5.5-7.0,"Poor drainage; Waterlogged soils; Moderate to warm soil temperatures; Soilborne; Affects roots, trunk (gummosis)"
Citrus Scab (Elsinoe fawcettii / E. australis),Pomelo;Grapefruit;Lemon;Orange,20,28,90,100,15,30,50,80,5.5-7.0,"Moderate temperatures; High humidity/rain during early fruit/leaf development; Leaf/fruit wetness (4+ hours)"
Late Blight (Phytophthora infestans),Potato;Tomato,12,24,90,100,10,30,50,80,5.0-7.0,"Cool to moderate temperatures; High humidity; Leaf wetness essential; Spreads rapidly via wind/rain; Overwinters in tubers/debris"
Early Blight (Alternaria solani),Potato;Tomato;Eggplant,24,29,85,95,15,30,40,70,5.5-7.5,"Moderate to warm temperatures; High humidity; Leaf wetness (dew, rain); Plant stress (nutrient, maturity); Overwinters on debris/seed/tubers"
Verticillium Wilt / Potato Early Dying (Verticillium dahliae/albo-atrum),Potato;Tomato;Mint;Cotton;Many Crops,21,27,70,90,10,25,40,75,6.0-7.5,"Cooler soil temperatures favor infection, symptoms express in warmer weather; Soilborne microsclerotia (long survival); Nematode interaction"
Common Scab (Streptomyces scabies/spp.),Potato;Beet;Radish;Carrot,20,25,70,85,10,25,40,70,5.5-7.5,"Dry soil conditions during tuber initiation favor infection; Moderate temperatures; Soilborne actinomycete; High pH (>5.2) favors"
Blackleg / Soft Rot (Pectobacterium spp.; Dickeya spp.),Potato;Many Vegetables,20,30,90,100,15,35,55,90,5.0-7.0,"Warm, wet conditions; Low oxygen (waterlogging); Enters through wounds (seed cutting, insects, harvest); Seedborne"
Head Smut (Sporisorium destruens),Proso Millet;Barnyard Millet,25,30,70,90,10,25,40,70,5.5-7.5,"Warm temperatures during flowering; Replaces entire panicle with large smut gall; Soilborne spores infect seedlings"
Kernel Smut (Ustilago panici-miliacei),Proso Millet,20,25,60,85,10,20,35,65,5.5-7.5,"Moderate temperatures during flowering; Replaces individual kernels with smut sori; Airborne spores infect flowers"
Bacterial Stripe (Pseudomonas syringae pv. panici),Proso Millet,20,28,85,95,15,30,45,75,6.0-7.5,"Moderate temperatures; High humidity; Rain splash; Seedborne"
Leaf Spot (Bipolaris panici-miliacei; Cercospora spp.),Proso Millet,25,32,85,95,15,35,45,75,5.5-7.0,"Warm, humid conditions; Leaf wetness; Plant stress; Overwinters on seed/debris"
Powdery Mildew (Podosphaera xanthii / Golovinomyces cichoracearum),Pumpkin;Squash;Cucumber;Melon,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate to high humidity (not free water); Poor air circulation; Reduced light; Affects leaves, stems, petioles"
Downy Mildew (Pseudoperonospora cubensis),Pumpkin;Squash;Cucumber;Melon,15,23,85,100,10,30,50,80,6.0-7.0,"High humidity; Leaf wetness essential (dew, rain); Cool nights, warm days; Wind dispersal (long distances)"
Gummy Stem Blight / Black Rot (Didymella bryoniae / Phoma cucurbitacearum),Pumpkin;Squash;Cucumber;Melon,20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; High humidity; Leaf wetness; Rain splash; Infected seed/debris; Wounds; Affects leaves, stems, fruit (black rot)"
Bacterial Leaf Spot (Xanthomonas cucurbitae),Pumpkin;Squash,25,30,85,95,15,35,45,75,6.0-7.5,"Warm, wet conditions; Rain splash; Overhead irrigation; Infected seed"
Phytophthora Blight (Phytophthora capsici),Pumpkin;Squash;Pepper;Tomato,24,29,90,100,20,40,60,90,5.5-7.0,"Warm, wet conditions; Poorly drained soils; Waterlogged soil; Affects roots, stems, leaves, fruit (rapid rot); Soilborne"
Downy Mildew (Peronospora variabilis / P. farinosa f.sp. chenopodii),Quinoa;Spinach;Beet,10,18,90,100,10,25,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential; Wind dispersal; Seedborne/soilborne oospores"
Leaf Spot (Ascochyta hyalospora; Cercospora spp.; Phoma spp.),Quinoa,15,25,85,95,10,30,40,70,6.0-7.5,"Moderate temperatures; Wet conditions; Rain splash; Seedborne/debris-borne"
Damping-off (Pythium spp.; Rhizoctonia solani),Quinoa;Many Seedlings,18,25,85,100,10,30,60,90,6.0-7.5,"Cool, wet soil (Pythium) or warmer (Rhizoctonia); Poor drainage; High soil moisture; Infected soil/media; Overcrowding"
Stalk Rot (Fusarium spp.),Quinoa,20,30,75,90,10,25,45,80,6.0-7.5,"Moderate to warm temperatures; Plant stress; Soilborne; Can cause lodging"
Downy Mildew (Hyaloperonospora parasitica),Radish;Turnip;Mustard;Other Brassicas,10,18,90,100,10,30,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential for infection; Splashing water; Wind dispersal"
White Rust (Albugo candida),Radish;Mustard;Arugula;Horseradish;Other Brassicas,12,22,85,95,10,25,40,70,6.0-7.5,"Cool, moist weather; Dew or fog; Leaf wetness; Can be systemic or cause local lesions"
Black Root Rot (Aphanomyces raphani),Radish,18,25,85,100,15,35,60,90,5.5-7.0,"Cool, wet soils; Poor drainage; Soilborne oospores (long survival)"
Alternaria Leaf Spot (Alternaria brassicae/raphani),Radish;Turnip;Other Brassicas,20,30,85,98,15,35,40,70,5.5-7.0,"Moderate to warm temperatures; High humidity; Leaf wetness duration > 8 hours; Plant stress; Infected debris/seed"
Fusarium Yellows / Wilt (Fusarium oxysporum f.sp. raphani/conglutinans),Radish;Cabbage;Turnip,24,29,70,90,10,25,40,80,5.5-7.0,"Warm soil temperatures; Soilborne; Persists in soil for years; Acidic soils may favor"
Anthracnose (Colletotrichum gloeosporioides),Rambutan;Lychee;Longan;Mango,24,30,85,98,20,40,50,80,5.0-6.5,"Warm, humid conditions; Rain splash; Affects flowers, fruit (rot), leaves, twigs (dieback)"
Powdery Mildew (Oidium nephelii),Rambutan;Lychee,25,30,70,90,5,20,35,65,5.5-7.0,"Dry conditions with high relative humidity (dew); Affects leaves, flowers, young fruit"
Stem Canker / Dieback (Phomopsis spp.; Lasiodiplodia theobromae),Rambutan;Lychee;Mango,25,35,75,95,10,30,40,75,5.0-6.5,"Plant stress; High temperatures; Wounds; High humidity"
Spur Blight (Didymella applanata),Raspberry,18,25,85,95,15,30,40,70,5.5-7.0,"Moderate temperatures; Wet conditions in spring; Infects leaves/petioles, moves into buds/canes; Rain splash"
Cane Blight (Leptosphaeria coniothyrium / Paraconiothyrium fuckelii),Raspberry;Blackberry;Rose,20,30,80,95,10,30,40,70,5.5-7.5,"Requires wounds for entry (pruning, insect damage); Rain splash; Stress conditions"
Raspberry Leaf Spot (Sphaerulina rubi / Septoria rubi),Raspberry;Blackberry,20,25,85,95,10,30,40,70,6.0-7.0,"Moderate temperatures; Wet weather; Rain splash; Overwinters on infected leaves and canes"
Gray Mold (Botrytis cinerea),Raspberry;Blackberry;Strawberry;Grape (Wide Host Range),18,24,90,100,15,35,50,80,5.5-7.0,"Cool, moist conditions; High humidity; Poor air circulation; Affects flowers and ripening fruit"
Root Rot (Phytophthora rubi / P. fragariae var. rubi),Raspberry,15,25,85,100,20,40,60,90,5.5-7.0,"Cool, wet soils; Poor drainage; Waterlogging; Soilborne oospores; Infected planting stock"
Rice Blast (Pyricularia oryzae / Magnaporthe oryzae),Rice;Wheat;Barley;Millets,25,30,90,100,20,40,50,80,5.0-6.5,"High humidity; Leaf wetness (dew, light rain); High nitrogen levels; Wind dispersal; Affects leaves, nodes, neck, panicles"
Bacterial Leaf Blight (BLB - Xanthomonas oryzae pv. oryzae),Rice,25,30,80,95,20,45,50,85,5.5-7.0,"Warm temperatures; High humidity; Rain; Wind; Nitrogen fertilization; Spread via water, seed, debris"
Sheath Blight (Rhizoctonia solani),Rice;Soybean;Corn,28,32,95,100,15,35,55,85,5.0-7.0,"High temperature; High humidity; High nitrogen levels; Dense canopy; Sclerotia float in water, spread via contact"
Brown Spot (Cochliobolus miyabeanus / Bipolaris oryzae),Rice,20,30,85,95,15,35,40,75,4.5-6.0,"Moderate to warm temperatures; High humidity; Leaf wetness; Nutrient deficiency (potassium); Seedborne/debris-borne"
Tungro Disease (RTBV Rice tungro bacilliform virus & RTSV Rice tungro spherical virus Complex),Rice,25,32,60,85,10,30,40,75,5.5-7.0,"Vector presence (Green Leafhopper - Nephotettix virescens); Presence of both viruses needed for typical symptoms; Requires continuous rice cropping or alternate hosts for vector"
Powdery Mildew (Erysiphe polygoni),Rice Bean;Other Legumes,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation; Dense canopy"
Leaf Spot (Cercospora spp.),Rice Bean;Other Legumes,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; High humidity; Rain splash; Dew; Infected seed or debris"
Yellow Mosaic Virus (MYMV - Mungbean Yellow Mosaic Virus),Rice Bean;Mung Bean;Black Gram,25,32,60,85,10,30,35,70,6.0-7.5,"Vector presence (Whitefly - Bemisia tabaci); Warm temperatures favor vector; Infected source plants"
Anthracnose (Colletotrichum spp.),Rice Bean;Common Bean;Soybean,18,26,90,100,15,30,40,75,5.5-7.0,"Cool to moderate temperatures; Wet conditions; Rain splash; Infected seed; Dense canopy"
Downy Mildew (Pseudoperonospora cubensis),Ridge Gourd (Luffa);Cucumber;Squash,15,23,85,100,10,30,50,80,6.0-7.0,"High humidity; Leaf wetness essential (dew, rain); Cool nights, warm days; Wind dispersal"
Powdery Mildew (Podosphaera xanthii / Golovinomyces cichoracearum),Ridge Gourd (Luffa);Cucumber;Squash,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate to high humidity (not free water); Poor air circulation; Reduced light"
Anthracnose (Colletotrichum lagenarium/orbiculare),Ridge Gourd (Luffa);Cucumber;Watermelon,22,28,90,100,15,35,50,80,5.5-6.5,"Warm, humid, rainy weather; Rain splash; Infected seed or debris; Leaf wetness duration"
